config_id,arm,arm_kind,stage,n_runs,n_runs_denom,invalid_rate,honest_halt_rate,unsettled_rate,Decl,Set,Ovr,Cov,PIT,Prov,Align,Adj,Cal,CellAgree,fid_day_rate,rho_p10,rho_median,rho_mean,day_coverage,within_band_rate,max_band_ratio,band:ic_stats.mean,band:ic_stats.std,band:ic_stats.icir,band:ic_stats.coverage,StateAgree,Sig,Cons,Feas,WeightAgree,ledger_conservation,attribution_conservation,Audit,FillSelfConsistent,SlipSelfConsistent,legal_transitions,events_monotone,orders_replayable,fills_linked_to_orders
cfg-codex-deepseek,open,baseline,S1,1,1,0.0,0.0,0.0,1.0,unobservable,0.009316770186335404,1.0,0.968944099378882,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S2,1,1,1.0,0.0,0.0,—,—,0.01935483870967742,n/a,n/a,n/a,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S3,1,1,0.0,0.0,0.0,—,—,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S4,1,1,0.0,0.0,0.0,1.0,1.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.875,7.850351888160644,1.0,1.0,1.0,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S5,1,1,0.0,0.0,0.0,1.0,1.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,0.9999999999999998,1.0,1.0,1.0,n/a,n/a,n/a,n/a,n/a,n/a,unobservable,unobservable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S6,1,1,0.0,0.0,0.0,1.0,1.0,0.011235955056179775,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S7,2,2,1.0,0.0,0.0,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S8,1,1,0.0,0.0,0.0,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,—,—,—,—,—
cfg-codex-deepseek,strict,protocol,S1,1,1,0.0,0.0,0.0,1.0,unobservable,0.005681818181818182,1.0,0.9801136363636364,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,strict,protocol,S2,1,1,1.0,0.0,0.0,—,—,0.009216589861751152,n/a,n/a,n/a,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
